,date,fund_code,fund_value_tile,fund_size_tile,fund_m1ret,fund_m2ret,fund_m3ret,fund_m4ret,fund_m5ret,fund_m6ret,fund_aum,Beta,BookToPrice,EarningsYield,Growth,Leverage,Liquidity,Momentum,NonlinearSize,ResidualVolatility,Size,fund_cat_1m,fund_cat_3m,fund_cat_6m,macro_term_spreads_5Y1Y,macro_term_spreads_10Y3M,macro_default_spreads,macro_short_yields_nominal,macro_long_ yields_nominal,macro_short_yields_real,macro_long_ yields_real,fund_inflow,fund_inflow_shift,消费_当期占比,稳定_当期占比,金融_当期占比,周期_当期占比,成长_当期占比,周期_过去1年平均占比,成长_过去1年平均占比,消费_过去1年平均占比,稳定_过去1年平均占比,金融_过去1年平均占比,周期_历史以来平均占比,成长_历史以来平均占比,消费_历史以来平均占比,稳定_历史以来平均占比,金融_历史以来平均占比,stock_code,fund_stock_mv,fund_stock_sh,fund_stock_mv_lag1,fund_stock_sh_lag1,fund_stock_mv_lag2,fund_stock_sh_lag2,fund_stock_mv_lag3,fund_stock_sh_lag3,fund_stock_mv_lag4,fund_stock_sh_lag4,fund_stock_mv_lag5,fund_stock_sh_lag5,fund_stock_mv_lag6,fund_stock_sh_lag6,id,同类持有该股票的总市值(亿元),同类持有该股票的平均比例,同类增持比例,同类维持持仓比例,同类减持比例,增减持-绝对变化,增减持-相对变化
0,2015-03-31,000001.OF,0.1671098104495807,-0.26880507141314475,0.1705246,0.23333323,0.28777575,0.2921636,0.33243918,0.3454703,7724351124.16,-0.5896504939959648,-0.5346061815180502,-0.6985633647544065,-0.13024406082369722,-0.5798567003635975,0.3097418407264989,0.19139709363511584,-0.02630696331897487,0.14407561645833086,-1.810232788910121,0.352112676056338,0.352112676056338,0.22535211267605634,0.002389,0.00381,0.020855000000000002,0.036076000000000004,0.036483,0.031421000000000004,0.031828,-430017109.55173117,-620661548.1856253,0.2423994890982275,0.1073814595287861,0.1407148824348193,0.2081307861541863,0.22634015792412226,0.17890972615367315,0.2973439723595436,0.2702269560116463,0.06883045237959941,0.1175733494961391,0.26709857270772275,0.16276674110596345,0.26398630422328323,0.06681625269746526,0.19897078002764587,000601.SZ,64789852.0,10999975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.7678307075,0.0049557850936997,0.2,0.8,0.0,-0.0018047467,-0.13974422
1,2015-03-31,000001.OF,0.1671098104495807,-0.26880507141314475,0.1705246,0.23333323,0.28777575,0.2921636,0.33243918,0.3454703,7724351124.16,-0.5896504939959648,-0.5346061815180502,-0.6985633647544065,-0.13024406082369722,-0.5798567003635975,0.3097418407264989,0.19139709363511584,-0.02630696331897487,0.14407561645833086,-1.810232788910121,0.352112676056338,0.352112676056338,0.22535211267605634,0.002389,0.00381,0.020855000000000002,0.036076000000000004,0.036483,0.031421000000000004,0.031828,-430017109.55173117,-620661548.1856253,0.2423994890982275,0.1073814595287861,0.1407148824348193,0.2081307861541863,0.22634015792412226,0.17890972615367315,0.2973439723595436,0.2702269560116463,0.06883045237959941,0.1175733494961391,0.26709857270772275,0.16276674110596345,0.26398630422328323,0.06681625269746526,0.19897078002764587,601718.SH,63499960.0,9999994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.634999619,0.0126575286792044,1.0,0.0,0.0,0.0008509597,0.06722951
2,2015-03-31,000001.OF,0.1671098104495807,-0.26880507141314475,0.1705246,0.23333323,0.28777575,0.2921636,0.33243918,0.3454703,7724351124.16,-0.5896504939959648,-0.5346061815180502,-0.6985633647544065,-0.13024406082369722,-0.5798567003635975,0.3097418407264989,0.19139709363511584,-0.02630696331897487,0.14407561645833086,-1.810232788910121,0.352112676056338,0.352112676056338,0.22535211267605634,0.002389,0.00381,0.020855000000000002,0.036076000000000004,0.036483,0.031421000000000004,0.031828,-430017109.55173117,-620661548.1856253,0.2423994890982275,0.1073814595287861,0.1407148824348193,0.2081307861541863,0.22634015792412226,0.17890972615367315,0.2973439723595436,0.2702269560116463,0.06883045237959941,0.1175733494961391,0.26709857270772275,0.16276674110596345,0.26398630422328323,0.06681625269746526,0.19897078002764587,600795.SH,55559560.0,11999905.0,0.0,0.0,0.0,0.0,54287230.0,23810188.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.6383753715,0.0077829952276760594,0.4,0.6,0.0,-0.011074758,-1.0
3,2015-03-31,000001.OF,0.1671098104495807,-0.26880507141314475,0.1705246,0.23333323,0.28777575,0.2921636,0.33243918,0.3454703,7724351124.16,-0.5896504939959648,-0.5346061815180502,-0.6985633647544065,-0.13024406082369722,-0.5798567003635975,0.3097418407264989,0.19139709363511584,-0.02630696331897487,0.14407561645833086,-1.810232788910121,0.352112676056338,0.352112676056338,0.22535211267605634,0.002389,0.00381,0.020855000000000002,0.036076000000000004,0.036483,0.031421000000000004,0.031828,-430017109.55173117,-620661548.1856253,0.2423994890982275,0.1073814595287861,0.1407148824348193,0.2081307861541863,0.22634015792412226,0.17890972615367315,0.2973439723595436,0.2702269560116463,0.06883045237959941,0.1175733494961391,0.26709857270772275,0.16276674110596345,0.26398630422328323,0.06681625269746526,0.19897078002764587,000789.SZ,54760000.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13029778.0,999983.0,0.0,0.0,24.0,0.62515385,0.007864332710152433,0.6666666666666666,0.3333333333333333,0.0,-0.010915381,-1.0
4,2015-03-31,000001.OF,0.1671098104495807,-0.26880507141314475,0.1705246,0.23333323,0.28777575,0.2921636,0.33243918,0.3454703,7724351124.16,-0.5896504939959648,-0.5346061815180502,-0.6985633647544065,-0.13024406082369722,-0.5798567003635975,0.3097418407264989,0.19139709363511584,-0.02630696331897487,0.14407561645833086,-1.810232788910121,0.352112676056338,0.352112676056338,0.22535211267605634,0.002389,0.00381,0.020855000000000002,0.036076000000000004,0.036483,0.031421000000000004,0.031828,-430017109.55173117,-620661548.1856253,0.2423994890982275,0.1073814595287861,0.1407148824348193,0.2081307861541863,0.22634015792412226,0.17890972615367315,0.2973439723595436,0.2702269560116463,0.06883045237959941,0.1175733494961391,0.26709857270772275,0.16276674110596345,0.26398630422328323,0.06681625269746526,0.19897078002764587,002572.SZ,52816548.0,2468063.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.76232103,0.017189218234833062,0.375,0.625,0.0,0.0014572237,0.13841426
5,2015-03-31,000001.OF,0.1671098104495807,-0.26880507141314475,0.1705246,0.23333323,0.28777575,0.2921636,0.33243918,0.3454703,7724351124.16,-0.5896504939959648,-0.5346061815180502,-0.6985633647544065,-0.13024406082369722,-0.5798567003635975,0.3097418407264989,0.19139709363511584,-0.02630696331897487,0.14407561645833086,-1.810232788910121,0.352112676056338,0.352112676056338,0.22535211267605634,0.002389,0.00381,0.020855000000000002,0.036076000000000004,0.036483,0.031421000000000004,0.031828,-430017109.55173117,-620661548.1856253,0.2423994890982275,0.1073814595287861,0.1407148824348193,0.2081307861541863,0.22634015792412226,0.17890972615367315,0.2973439723595436,0.2702269560116463,0.06883045237959941,0.1175733494961391,0.26709857270772275,0.16276674110596345,0.26398630422328323,0.06681625269746526,0.19897078002764587,002469.SZ,52435516.0,3608776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.8149244945,0.0143564643020234,1.0,0.0,0.0,-0.010452039,-1.0
6,2015-03-31,000001.OF,0.1671098104495807,-0.26880507141314475,0.1705246,0.23333323,0.28777575,0.2921636,0.33243918,0.3454703,7724351124.16,-0.5896504939959648,-0.5346061815180502,-0.6985633647544065,-0.13024406082369722,-0.5798567003635975,0.3097418407264989,0.19139709363511584,-0.02630696331897487,0.14407561645833086,-1.810232788910121,0.352112676056338,0.352112676056338,0.22535211267605634,0.002389,0.00381,0.020855000000000002,0.036076000000000004,0.036483,0.031421000000000004,0.031828,-430017109.55173117,-620661548.1856253,0.2423994890982275,0.1073814595287861,0.1407148824348193,0.2081307861541863,0.22634015792412226,0.17890972615367315,0.2973439723595436,0.2702269560116463,0.06883045237959941,0.1175733494961391,0.26709857270772275,0.16276674110596345,0.26398630422328323,0.06681625269746526,0.19897078002764587,002452.SZ,50249770.0,2745889.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.5210355870000001,0.003845032307920704,0.3333333333333333,0.6666666666666666,0.0,-0.007788564,-0.777585
7,2015-03-31,000001.OF,0.1671098104495807,-0.26880507141314475,0.1705246,0.23333323,0.28777575,0.2921636,0.33243918,0.3454703,7724351124.16,-0.5896504939959648,-0.5346061815180502,-0.6985633647544065,-0.13024406082369722,-0.5798567003635975,0.3097418407264989,0.19139709363511584,-0.02630696331897487,0.14407561645833086,-1.810232788910121,0.352112676056338,0.352112676056338,0.22535211267605634,0.002389,0.00381,0.020855000000000002,0.036076000000000004,0.036483,0.031421000000000004,0.031828,-430017109.55173117,-620661548.1856253,0.2423994890982275,0.1073814595287861,0.1407148824348193,0.2081307861541863,0.22634015792412226,0.17890972615367315,0.2973439723595436,0.2702269560116463,0.06883045237959941,0.1175733494961391,0.26709857270772275,0.16276674110596345,0.26398630422328323,0.06681625269746526,0.19897078002764587,601566.SH,65788980.0,5099921.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.716055909,0.009235588171891762,0.3333333333333333,0.6666666666666666,0.0,-0.013113719,-0.99999374
8,2015-03-31,000001.OF,0.1671098104495807,-0.26880507141314475,0.1705246,0.23333323,0.28777575,0.2921636,0.33243918,0.3454703,7724351124.16,-0.5896504939959648,-0.5346061815180502,-0.6985633647544065,-0.13024406082369722,-0.5798567003635975,0.3097418407264989,0.19139709363511584,-0.02630696331897487,0.14407561645833086,-1.810232788910121,0.352112676056338,0.352112676056338,0.22535211267605634,0.002389,0.00381,0.020855000000000002,0.036076000000000004,0.036483,0.031421000000000004,0.031828,-430017109.55173117,-620661548.1856253,0.2423994890982275,0.1073814595287861,0.1407148824348193,0.2081307861541863,0.22634015792412226,0.17890972615367315,0.2973439723595436,0.2702269560116463,0.06883045237959941,0.1175733494961391,0.26709857270772275,0.16276674110596345,0.26398630422328323,0.06681625269746526,0.19897078002764587,601318.SH,49992868.0,669159.0,0.0,0.0,56655444.0,1357667.0,0.0,0.0,281189440.0,6208643.0,397001600.0,8679528.0,0.0,0.0,28.0,13.142891306700001,0.048594558002577226,0.7777777777777778,0.08888888888888889,0.13333333333333333,-0.009818732,-0.9853077
9,2015-03-31,000001.OF,0.1671098104495807,-0.26880507141314475,0.1705246,0.23333323,0.28777575,0.2921636,0.33243918,0.3454703,7724351124.16,-0.5896504939959648,-0.5346061815180502,-0.6985633647544065,-0.13024406082369722,-0.5798567003635975,0.3097418407264989,0.19139709363511584,-0.02630696331897487,0.14407561645833086,-1.810232788910121,0.352112676056338,0.352112676056338,0.22535211267605634,0.002389,0.00381,0.020855000000000002,0.036076000000000004,0.036483,0.031421000000000004,0.031828,-430017109.55173117,-620661548.1856253,0.2423994890982275,0.1073814595287861,0.1407148824348193,0.2081307861541863,0.22634015792412226,0.17890972615367315,0.2973439723595436,0.2702269560116463,0.06883045237959941,0.1175733494961391,0.26709857270772275,0.16276674110596345,0.26398630422328323,0.06681625269746526,0.19897078002764587,000898.SZ,49199484.0,7999916.0,0.0,0.0,18396408.0,5730968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.500289585,0.0130830764827665,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.009806996,-1.0
16,2015-03-31,000001.OF,0.1671098104495807,-0.26880507141314475,0.1705246,0.23333323,0.28777575,0.2921636,0.33243918,0.3454703,7724351124.16,-0.5896504939959648,-0.5346061815180502,-0.6985633647544065,-0.13024406082369722,-0.5798567003635975,0.3097418407264989,0.19139709363511584,-0.02630696331897487,0.14407561645833086,-1.810232788910121,0.352112676056338,0.352112676056338,0.22535211267605634,0.002389,0.00381,0.020855000000000002,0.036076000000000004,0.036483,0.031421000000000004,0.031828,-430017109.55173117,-620661548.1856253,0.2423994890982275,0.1073814595287861,0.1407148824348193,0.2081307861541863,0.22634015792412226,0.17890972615367315,0.2973439723595436,0.2702269560116463,0.06883045237959941,0.1175733494961391,0.26709857270772275,0.16276674110596345,0.26398630422328323,0.06681625269746526,0.19897078002764587,600036.SH,49770000.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,22000000.0,1600000.0,0.0,0.0,0.0,0.0,29.0,2.4047412375,0.02200617546154709,0.6956521739130435,0.21739130434782608,0.08695652173913043,-0.009920718,-1.0
18,2015-03-31,000001.OF,0.1671098104495807,-0.26880507141314475,0.1705246,0.23333323,0.28777575,0.2921636,0.33243918,0.3454703,7724351124.16,-0.5896504939959648,-0.5346061815180502,-0.6985633647544065,-0.13024406082369722,-0.5798567003635975,0.3097418407264989,0.19139709363511584,-0.02630696331897487,0.14407561645833086,-1.810232788910121,0.352112676056338,0.352112676056338,0.22535211267605634,0.002389,0.00381,0.020855000000000002,0.036076000000000004,0.036483,0.031421000000000004,0.031828,-430017109.55173117,-620661548.1856253,0.2423994890982275,0.1073814595287861,0.1407148824348193,0.2081307861541863,0.22634015792412226,0.17890972615367315,0.2973439723595436,0.2702269560116463,0.06883045237959941,0.1175733494961391,0.26709857270772275,0.16276674110596345,0.26398630422328323,0.06681625269746526,0.19897078002764587,002009.SZ,71400000.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0978257808,0.018735880267601382,0.5,0.5,0.0,0.0032879245,0.23101926
19,2015-03-31,000001.OF,0.1671098104495807,-0.26880507141314475,0.1705246,0.23333323,0.28777575,0.2921636,0.33243918,0.3454703,7724351124.16,-0.5896504939959648,-0.5346061815180502,-0.6985633647544065,-0.13024406082369722,-0.5798567003635975,0.3097418407264989,0.19139709363511584,-0.02630696331897487,0.14407561645833086,-1.810232788910121,0.352112676056338,0.352112676056338,0.22535211267605634,0.002389,0.00381,0.020855000000000002,0.036076000000000004,0.036483,0.031421000000000004,0.031828,-430017109.55173117,-620661548.1856253,0.2423994890982275,0.1073814595287861,0.1407148824348193,0.2081307861541863,0.22634015792412226,0.17890972615367315,0.2973439723595436,0.2702269560116463,0.06883045237959941,0.1175733494961391,0.26709857270772275,0.16276674110596345,0.26398630422328323,0.06681625269746526,0.19897078002764587,000100.SZ,75999624.0,19999902.0,0.0,0.0,0.0,0.0,15926549.0,7016101.0,16022261.0,7316101.0,75644456.0,37263280.0,0.0,0.0,17.0,0.915454276,0.0145132116745506,0.4,0.6,0.0,-0.0009225067,-0.060895145
20,2015-03-31,000001.OF,0.1671098104495807,-0.26880507141314475,0.1705246,0.23333323,0.28777575,0.2921636,0.33243918,0.3454703,7724351124.16,-0.5896504939959648,-0.5346061815180502,-0.6985633647544065,-0.13024406082369722,-0.5798567003635975,0.3097418407264989,0.19139709363511584,-0.02630696331897487,0.14407561645833086,-1.810232788910121,0.352112676056338,0.352112676056338,0.22535211267605634,0.002389,0.00381,0.020855000000000002,0.036076000000000004,0.036483,0.031421000000000004,0.031828,-430017109.55173117,-620661548.1856253,0.2423994890982275,0.1073814595287861,0.1407148824348193,0.2081307861541863,0.22634015792412226,0.17890972615367315,0.2973439723595436,0.2702269560116463,0.06883045237959941,0.1175733494961391,0.26709857270772275,0.16276674110596345,0.26398630422328323,0.06681625269746526,0.19897078002764587,600535.SH,230231400.0,5601737.0,178361700.0,4600508.0,139796270.0,3259414.0,124474056.0,3179414.0,82892670.0,1499777.0,65570252.0,1499777.0,0.0,0.0,2.0,4.044208353,0.013574673825733533,0.08333333333333333,0.5833333333333334,0.3333333333333333,-0.026998656,-0.5883045
21,2015-03-31,000001.OF,0.1671098104495807,-0.26880507141314475,0.1705246,0.23333323,0.28777575,0.2921636,0.33243918,0.3454703,7724351124.16,-0.5896504939959648,-0.5346061815180502,-0.6985633647544065,-0.13024406082369722,-0.5798567003635975,0.3097418407264989,0.19139709363511584,-0.02630696331897487,0.14407561645833086,-1.810232788910121,0.352112676056338,0.352112676056338,0.22535211267605634,0.002389,0.00381,0.020855000000000002,0.036076000000000004,0.036483,0.031421000000000004,0.031828,-430017109.55173117,-620661548.1856253,0.2423994890982275,0.1073814595287861,0.1407148824348193,0.2081307861541863,0.22634015792412226,0.17890972615367315,0.2973439723595436,0.2702269560116463,0.06883045237959941,0.1175733494961391,0.26709857270772275,0.16276674110596345,0.26398630422328323,0.06681625269746526,0.19897078002764587,002279.SZ,214464980.0,7937268.0,181037280.0,7587480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.1446498136,0.0427495792284757,0.0,1.0,0.0,0.013973396,0.32686627
22,2015-03-31,000001.OF,0.1671098104495807,-0.26880507141314475,0.1705246,0.23333323,0.28777575,0.2921636,0.33243918,0.3454703,7724351124.16,-0.5896504939959648,-0.5346061815180502,-0.6985633647544065,-0.13024406082369722,-0.5798567003635975,0.3097418407264989,0.19139709363511584,-0.02630696331897487,0.14407561645833086,-1.810232788910121,0.352112676056338,0.352112676056338,0.22535211267605634,0.002389,0.00381,0.020855000000000002,0.036076000000000004,0.036483,0.031421000000000004,0.031828,-430017109.55173117,-620661548.1856253,0.2423994890982275,0.1073814595287861,0.1407148824348193,0.2081307861541863,0.22634015792412226,0.17890972615367315,0.2973439723595436,0.2702269560116463,0.06883045237959941,0.1175733494961391,0.26709857270772275,0.16276674110596345,0.26398630422328323,0.06681625269746526,0.19897078002764587,600019.SH,177265230.0,25287480.0,14349988.0,3499997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.604825571,0.025604535822791288,0.7142857142857143,0.14285714285714285,0.14285714285714285,-0.032074437,-0.90773696
